Warning at line 175, column 9: Unused variable 'ignored'
Warning at line 2092, column 9: Unused variable 'rejected'
Warning at line 2213, column 9: Unused variable 'rejected'
Warning at line 2220, column 13: Unused variable 'rejected'
Warning at line 2258, column 9: Unused variable 'rejected'
Warning at line 2262, column 9: Unused variable 'rejected'
Warning at line 2269, column 13: Unused variable 'rejected'
Warning at line 5384, column 17: Unused variable 'imported'
[shadow-progress] elapsed_ms=15.187 admission_calls=26 admission_ms=30.186 assert_traps=22 full_calls=4 full_ns=30185378 reuse_calls=22 reuse_ns=720 admission_ns=30186098 leave fn=575 pc=154395 name=$shadow_12_diag_error_simple
[shadow-progress] elapsed_ms=15.189 admission_calls=26 admission_ms=30.186 assert_traps=22 full_calls=4 full_ns=30185378 reuse_calls=22 reuse_ns=720 admission_ns=30186098 enter fn=576 pc=154440 name=$shadow_13_diag_warning_simple
[shadow-progress] elapsed_ms=15.191 admission_calls=27 admission_ms=30.186 assert_traps=23 full_calls=4 full_ns=30185378 reuse_calls=23 reuse_ns=736 admission_ns=30186114 leave fn=576 pc=154440 name=$shadow_13_diag_warning_simple
[shadow-progress] elapsed_ms=15.193 admission_calls=27 admission_ms=30.186 assert_traps=23 full_calls=4 full_ns=30185378 reuse_calls=23 reuse_ns=736 admission_ns=30186114 enter fn=577 pc=154485 name=$shadow_14_diag_info
[shadow-progress] elapsed_ms=15.195 admission_calls=28 admission_ms=30.186 assert_traps=24 full_calls=4 full_ns=30185378 reuse_calls=24 reuse_ns=752 admission_ns=30186130 leave fn=577 pc=154485 name=$shadow_14_diag_info
[shadow-progress] elapsed_ms=15.197 admission_calls=28 admission_ms=30.186 assert_traps=24 full_calls=4 full_ns=30185378 reuse_calls=24 reuse_ns=752 admission_ns=30186130 enter fn=578 pc=154564 name=$shadow_15_diag_info_simple
[shadow-progress] elapsed_ms=15.199 admission_calls=29 admission_ms=30.186 assert_traps=25 full_calls=4 full_ns=30185378 reuse_calls=25 reuse_ns=784 admission_ns=30186162 leave fn=578 pc=154564 name=$shadow_15_diag_info_simple
[shadow-progress] elapsed_ms=15.200 admission_calls=29 admission_ms=30.186 assert_traps=25 full_calls=4 full_ns=30185378 reuse_calls=25 reuse_ns=784 admission_ns=30186162 enter fn=579 pc=154605 name=$shadow_16_diag_lexer_error
[shadow-progress] elapsed_ms=15.203 admission_calls=30 admission_ms=30.186 assert_traps=26 full_calls=4 full_ns=30185378 reuse_calls=26 reuse_ns=816 admission_ns=30186194 leave fn=579 pc=154605 name=$shadow_16_diag_lexer_error
[shadow-progress] elapsed_ms=15.204 admission_calls=30 admission_ms=30.186 assert_traps=26 full_calls=4 full_ns=30185378 reuse_calls=26 reuse_ns=816 admission_ns=30186194 enter fn=580 pc=154675 name=$shadow_17_diag_typecheck_error
[shadow-progress] elapsed_ms=15.209 admission_calls=31 admission_ms=30.186 assert_traps=27 full_calls=4 full_ns=30185378 reuse_calls=27 reuse_ns=848 admission_ns=30186226 leave fn=580 pc=154675 name=$shadow_17_diag_typecheck_error
[shadow-progress] elapsed_ms=15.210 admission_calls=31 admission_ms=30.186 assert_traps=27 full_calls=4 full_ns=30185378 reuse_calls=27 reuse_ns=848 admission_ns=30186226 enter fn=581 pc=154745 name=$shadow_18_diag_transpiler_error
[shadow-progress] elapsed_ms=15.212 admission_calls=32 admission_ms=30.186 assert_traps=28 full_calls=4 full_ns=30185378 reuse_calls=28 reuse_ns=880 admission_ns=30186258 leave fn=581 pc=154745 name=$shadow_18_diag_transpiler_error
[shadow-progress] elapsed_ms=15.214 admission_calls=32 admission_ms=30.186 assert_traps=28 full_calls=4 full_ns=30185378 reuse_calls=28 reuse_ns=880 admission_ns=30186258 enter fn=582 pc=154815 name=$shadow_19_diag_list_count
